1,1,2,2,0,0,0,0,0,0,0,0
4,0,10,14,0,0,0,0,0,0,0,0
0,2,1,7,0,0,0,0,0,0,0,0
0,1,2,3,0,0,0,0,0,0,0,0
0,0,1,4,0,0,0,0,0,0,0,0
2,1,1,2,0,0,0,0,0,0,0,0
0,0,1,5,0,0,0,0,0,0,0,0
2,1,4,4,0,0,0,0,0,0,0,0
1,1,1,5,0,0,0,0,0,0,0,0
0,2,3,2,0,0,0,0,0,0,0,0
0,0,2,3,0,0,0,0,0,0,0,0
2,2,5,2,0,0,0,0,0,0,0,0
0,1,1,4,0,0,0,0,0,0,0,0
2,2,2,3,0,0,0,0,0,0,0,0
3,0,1,6,0,0,0,0,0,0,0,0
0,0,2,3,0,0,0,0,0,0,0,0
0,1,2,5,0,0,0,0,0,0,0,0
0,3,2,3,0,0,0,0,0,0,0,0
0,1,2,5,0,0,0,0,0,0,0,0
0,0,2,4,0,0,0,0,0,0,0,0
0,1,2,7,0,0,0,0,0,0,0,0
1,2,1,5,0,0,0,0,0,0,0,0
0,2,1,2,0,0,0,0,0,0,0,0
1,0,3,2,0,0,0,0,0,0,0,0
1,0,1,4,0,0,0,0,0,0,0,0
1,2,3,2,0,0,0,0,0,0,0,0
0,0,1,5,0,0,0,0,0,0,0,0
0,0,3,4,0,0,0,0,0,0,0,0
0,0,2,3,0,0,0,0,0,0,0,0
0,0,1,4,0,0,0,0,0,0,0,0
1,0,2,4,0,0,0,0,0,0,0,0
1,1,1,2,0,0,0,0,0,0,0,0
0,0,2,3,0,0,0,0,0,0,0,0
1,2,1,2,0,0,0,0,0,0,0,0
0,2,1,2,0,0,0,0,0,0,0,0
2,1,2,4,0,0,0,0,0,0,0,0
1,1,1,2,0,0,0,0,0,0,0,0
0,1,1,5,0,0,0,0,0,0,0,0
0,0,2,4,0,0,0,0,0,0,0,0
0,1,2,4,0,0,0,0,0,0,0,0
1,1,1,4,0,0,0,0,0,0,0,0
2,1,3,4,0,0,0,0,0,0,0,0
0,0,2,3,0,0,0,0,0,0,0,0
1,1,2,5,0,0,0,0,0,0,0,0
1,2,2,3,0,0,0,0,0,0,0,0
0,0,2,4,0,0,0,0,0,0,0,0
0,1,1,5,0,0,0,0,0,0,0,0
0,3,1,8,0,0,0,0,0,0,0,0
0,2,5,2,0,0,0,0,0,0,0,0
0,1,1,3,0,0,0,0,0,0,0,0
1,2,2,2,0,0,0,0,0,0,0,0
0,1,0,6,0,0,0,0,0,0,0,0
0,1,4,4,0,0,0,0,0,0,0,0
0,0,2,3,0,0,0,0,0,0,0,0
3,2,1,4,0,0,0,0,0,0,0,0
0,1,0,6,0,0,0,0,0,0,0,0
1,1,1,6,0,0,0,0,0,0,0,0
0,2,1,4,0,0,0,0,0,0,0,0
0,0,3,2,0,0,0,0,0,0,0,0
2,1,2,3,0,0,0,0,0,0,0,0
0,2,3,1,0,0,0,0,0,0,0,0
1,1,1,5,0,0,0,0,0,0,0,0
0,0,4,2,0,0,0,0,0,0,0,0
0,2,3,11,0,0,0,0,0,0,0,0
1,1,3,2,0,0,0,0,0,0,0,0
0,2,1,3,0,0,0,0,0,0,0,0
0,0,2,4,0,0,0,0,0,0,0,0
0,1,3,1,0,0,0,0,0,0,0,0
0,0,3,5,0,0,0,0,0,0,0,0
0,0,3,5,0,0,0,0,0,0,0,0
2,2,2,3,0,0,0,0,0,0,0,0
0,1,3,2,0,0,0,0,0,0,0,0
0,0,1,5,0,0,0,0,0,0,0,0
1,0,0,5,0,0,0,0,0,0,0,0
1,0,0,5,0,0,0,0,0,0,0,0
0,1,2,5,0,0,0,0,0,0,0,0
1,0,2,12,0,0,0,0,0,0,0,0
0,2,0,5,0,0,0,0,0,0,0,0
0,1,1,10,0,0,0,0,0,0,0,0
2,3,3,4,0,0,0,0,0,0,0,0
1,0,2,3,0,0,0,0,0,0,0,0
1,2,1,1,0,0,0,0,0,0,0,0
0,1,0,6,0,0,0,0,0,0,0,0
2,1,2,7,0,0,0,0,0,0,0,0
0,1,2,4,0,0,0,0,0,0,0,0
0,1,1,3,0,0,0,0,0,0,0,0
0,1,3,3,0,0,0,0,0,0,0,0
0,2,1,2,0,0,0,0,0,0,0,0
0,1,3,3,0,0,0,0,0,0,0,0
1,0,2,5,0,0,0,0,0,0,0,0
0,0,2,5,0,0,0,0,0,0,0,0
0,3,1,4,0,0,0,0,0,0,0,0
0,0,1,4,0,0,0,0,0,0,0,0
0,0,1,4,0,0,0,0,0,0,0,0
0,0,1,4,0,0,0,0,0,0,0,0
1,2,2,3,0,0,0,0,0,0,0,0
0,0,1,4,0,0,0,0,0,0,0,0
0,1,3,2,0,0,0,0,0,0,0,0
0,1,1,3,0,0,0,0,0,0,0,0
3,1,2,2,0,0,0,0,0,0,0,0
0,1,1,3,0,0,0,0,0,0,0,0
4,0,3,3,0,0,0,0,0,0,0,0
0,0,1,4,0,0,0,0,0,0,0,0
0,0,4,2,0,0,0,0,0,0,0,0
1,2,1,2,0,0,0,0,0,0,0,0
0,0,2,3,0,0,0,0,0,0,0,0
0,3,1,1,0,0,0,0,0,0,0,0
0,4,2,4,0,0,0,0,0,0,0,0
2,0,0,7,0,0,0,0,0,0,0,0
1,0,1,6,0,0,0,0,0,0,0,0
0,0,1,4,0,0,0,0,0,0,0,0
0,1,1,7,0,0,0,0,0,0,0,0
0,0,3,2,0,0,0,0,0,0,0,0
1,1,3,2,0,0,0,0,0,0,0,0
0,2,1,2,0,0,0,0,0,0,0,0
2,2,0,5,0,0,0,0,0,0,0,0
0,1,1,6,0,0,0,0,0,0,0,0
0,1,2,2,0,0,0,0,0,0,0,0
0,1,3,1,0,0,0,0,0,0,0,0
0,2,1,4,0,0,0,0,0,0,0,0
1,0,3,2,0,0,0,0,0,0,0,0
0,1,0,6,0,0,0,0,0,0,0,0
0,0,2,4,0,0,0,0,0,0,0,0
0,2,1,4,0,0,0,0,0,0,0,0
0,1,5,4,0,0,0,0,0,0,0,0
0,0,3,4,0,0,0,0,0,0,0,0
0,2,2,1,0,0,0,0,0,0,0,0
1,2,3,1,0,0,0,0,0,0,0,0
0,1,2,2,0,0,0,0,0,0,0,0
1,1,1,2,0,0,0,0,0,0,0,0
0,1,1,3,0,0,0,0,0,0,0,0
1,2,3,8,0,0,0,0,0,0,0,0
0,1,1,3,0,0,0,0,0,0,0,0
0,1,0,6,0,0,0,0,0,0,0,0
0,1,1,4,0,0,0,0,0,0,0,0
0,0,5,3,0,0,0,0,0,0,0,0
0,0,4,3,0,0,0,0,0,0,0,0
0,2,2,2,0,0,0,0,0,0,0,0
0,0,3,5,0,0,0,0,0,0,0,0
1,1,2,2,0,0,0,0,0,0,0,0
0,0,2,5,0,0,0,0,0,0,0,0
0,1,1,4,0,0,0,0,0,0,0,0
0,0,3,3,0,0,0,0,0,0,0,0
0,0,2,3,0,0,0,0,0,0,0,0
0,0,1,5,0,0,0,0,0,0,0,0
2,4,4,13,0,0,0,0,0,0,0,0
0,0,2,4,0,0,0,0,0,0,0,0
0,2,1,3,0,0,0,0,0,0,0,0
0,0,2,4,0,0,0,0,0,0,0,0
0,1,2,3,0,0,0,0,0,0,0,0
0,0,2,3,0,0,0,0,0,0,0,0
0,0,1,4,0,0,0,0,0,0,0,0
0,0,1,6,0,0,0,0,0,0,0,0
0,0,2,3,0,0,0,0,0,0,0,0
0,1,7,3,0,0,0,0,0,0,0,0
1,1,1,4,0,0,0,0,0,0,0,0
0,2,1,5,0,0,0,0,0,0,0,0
1,1,0,5,0,0,0,0,0,0,0,0
3,2,0,7,0,0,0,0,0,0,0,0
1,0,0,5,0,0,0,0,0,0,0,0
0,0,3,3,0,0,0,0,0,0,0,0
2,1,1,2,0,0,0,0,0,0,0,0
0,0,1,6,0,0,0,0,0,0,0,0
0,1,1,3,0,0,0,0,0,0,0,0
0,3,3,10,0,0,0,0,0,0,0,0
0,2,2,6,0,0,0,0,0,0,0,0
0,0,2,6,0,0,0,0,0,0,0,0
0,0,1,4,0,0,0,0,0,0,0,0
0,0,2,5,0,0,0,0,0,0,0,0
0,0,4,5,0,0,0,0,0,0,0,0
0,2,1,3,0,0,0,0,0,0,0,0
0,1,1,4,0,0,0,0,0,0,0,0
0,1,2,3,0,0,0,0,0,0,0,0
0,1,4,1,0,0,0,0,0,0,0,0
0,1,4,1,0,0,0,0,0,0,0,0
0,1,2,4,0,0,0,0,0,0,0,0
0,0,2,4,0,0,0,0,0,0,0,0
0,1,2,3,0,0,0,0,0,0,0,0
0,0,2,3,0,0,0,0,0,0,0,0
1,1,2,1,0,0,0,0,0,0,0,0
0,0,3,4,0,0,0,0,0,0,0,0
0,2,2,5,0,0,0,0,0,0,0,0
0,0,2,3,0,0,0,0,0,0,0,0
0,1,5,8,0,0,0,0,0,0,0,0
0,3,0,5,0,0,0,0,0,0,0,0
1,2,3,5,0,0,0,0,0,0,0,0
0,0,1,4,0,0,0,0,0,0,0,0
0,2,3,3,0,0,0,0,0,0,0,0
0,2,3,1,0,0,0,0,0,0,0,0
0,0,3,3,0,0,0,0,0,0,0,0
0,0,1,5,0,0,0,0,0,0,0,0
0,0,1,4,0,0,0,0,0,0,0,0
2,2,1,1,0,0,0,0,0,0,0,0
0,1,2,3,0,0,0,0,0,0,0,0
1,0,4,4,0,0,0,0,0,0,0,0
0,2,1,3,0,0,0,0,0,0,0,0
0,1,2,4,0,0,0,0,0,0,0,0
0,2,3,5,0,0,0,0,0,0,0,0
2,1,2,1,0,0,0,0,0,0,0,0
1,3,4,5,0,0,0,0,0,0,0,0
0,1,1,3,0,0,0,0,0,0,0,0
0,0,2,3,0,0,0,0,0,0,0,0
0,0,2,3,0,0,0,0,0,0,0,0
1,2,2,5,0,0,0,0,0,0,0,0
0,0,6,5,0,0,0,0,0,0,0,0
0,1,3,3,0,0,0,0,0,0,0,0
0,1,1,3,0,0,0,0,0,0,0,0
0,1,2,2,0,0,0,0,0,0,0,0
0,0,5,3,0,0,0,0,0,0,0,0
1,1,2,4,0,0,0,0,0,0,0,0
0,1,1,3,0,0,0,0,0,0,0,0
1,0,1,8,0,0,0,0,0,0,0,0
1,1,2,1,0,0,0,0,0,0,0,0
0,0,3,5,0,0,0,0,0,0,0,0
1,1,1,3,0,0,0,0,0,0,0,0
2,1,1,1,0,0,0,0,0,0,0,0
1,1,3,1,0,0,0,0,0,0,0,0
0,0,1,5,0,0,0,0,0,0,0,0
0,0,4,2,0,0,0,0,0,0,0,0
0,1,1,3,0,0,0,0,0,0,0,0
1,1,2,2,0,0,0,0,0,0,0,0
0,0,2,3,0,0,0,0,0,0,0,0
0,1,2,3,0,0,0,0,0,0,0,0
0,1,1,4,0,0,0,0,0,0,0,0
0,0,2,4,0,0,0,0,0,0,0,0
0,1,1,4,0,0,0,0,0,0,0,0
1,2,1,6,0,0,0,0,0,0,0,0
1,1,1,2,0,0,0,0,0,0,0,0
5,2,2,2,0,0,0,0,0,0,0,0
0,1,2,3,0,0,0,0,0,0,0,0
0,1,2,4,0,0,0,0,0,0,0,0
0,0,2,3,0,0,0,0,0,0,0,0
0,1,1,5,0,0,0,0,0,0,0,0
1,1,2,3,0,0,0,0,0,0,0,0
1,2,2,2,0,0,0,0,0,0,0,0
2,1,3,4,0,0,0,0,0,0,0,0
0,1,2,2,0,0,0,0,0,0,0,0
0,2,5,2,0,0,0,0,0,0,0,0
0,0,4,8,0,0,0,0,0,0,0,0
1,0,2,4,0,0,0,0,0,0,0,0
2,0,1,9,0,0,0,0,0,0,0,0
0,0,4,3,0,0,0,0,0,0,0,0
0,3,1,3,0,0,0,0,0,0,0,0
0,2,1,2,0,0,0,0,0,0,0,0
0,2,3,3,0,0,0,0,0,0,0,0
1,0,2,7,0,0,0,0,0,0,0,0
0,1,1,3,0,0,0,0,0,0,0,0
0,1,3,1,0,0,0,0,0,0,0,0
0,0,3,2,0,0,0,0,0,0,0,0
1,1,1,2,0,0,0,0,0,0,0,0
0,3,0,6,0,0,0,0,0,0,0,0
0,2,7,6,0,0,0,0,0,0,0,0
0,3,2,3,0,0,0,0,0,0,0,0
0,2,1,4,0,0,0,0,0,0,0,0
0,1,1,4,0,0,0,0,0,0,0,0
0,0,1,5,0,0,0,0,0,0,0,0
2,1,2,3,0,0,0,0,0,0,0,0
0,0,1,4,0,0,0,0,0,0,0,0
2,2,1,6,0,0,0,0,0,0,0,0
0,2,2,2,0,0,0,0,0,0,0,0
0,2,3,4,0,0,0,0,0,0,0,0
1,1,3,4,0,0,0,0,0,0,0,0
0,0,3,2,0,0,0,0,0,0,0,0
0,0,2,6,0,0,0,0,0,0,0,0
0,1,3,5,0,0,0,0,0,0,0,0
0,0,4,3,0,0,0,0,0,0,0,0
0,0,2,5,0,0,0,0,0,0,0,0
2,3,2,2,0,0,0,0,0,0,0,0
0,1,1,3,0,0,0,0,0,0,0,0
0,0,1,4,0,0,0,0,0,0,0,0
0,1,3,4,0,0,0,0,0,0,0,0
1,1,2,2,0,0,0,0,0,0,0,0
0,0,3,2,0,0,0,0,0,0,0,0
3,3,3,4,0,0,0,0,0,0,0,0
0,0,2,4,0,0,0,0,0,0,0,0
0,1,3,3,0,0,0,0,0,0,0,0
0,1,1,3,0,0,0,0,0,0,0,0
0,1,1,3,0,0,0,0,0,0,0,0
0,1,1,3,0,0,0,0,0,0,0,0
2,2,7,6,0,0,0,0,0,0,0,0
0,0,3,6,0,0,0,0,0,0,0,0
0,0,1,4,0,0,0,0,0,0,0,0
1,1,1,2,0,0,0,0,0,0,0,0
1,2,1,1,0,0,0,0,0,0,0,0
0,1,1,3,0,0,0,0,0,0,0,0
0,1,1,5,0,0,0,0,0,0,0,0
0,1,3,1,0,0,0,0,0,0,0,0
0,2,1,3,0,0,0,0,0,0,0,0
0,0,2,5,0,0,0,0,0,0,0,0
0,1,2,3,0,0,0,0,0,0,0,0
2,1,2,3,0,0,0,0,0,0,0,0
0,1,3,3,0,0,0,0,0,0,0,0
1,0,2,3,0,0,0,0,0,0,0,0
0,2,1,5,0,0,0,0,0,0,0,0
0,0,1,6,0,0,0,0,0,0,0,0
0,2,3,4,0,0,0,0,0,0,0,0
0,0,1,5,0,0,0,0,0,0,0,0
0,0,2,3,0,0,0,0,0,0,0,0
0,1,1,3,0,0,0,0,0,0,0,0
0,0,3,3,0,0,0,0,0,0,0,0
1,1,3,4,0,0,0,0,0,0,0,0
1,2,3,8,0,0,0,0,0,0,0,0
0,2,2,1,0,0,0,0,0,0,0,0
0,1,2,2,0,0,0,0,0,0,0,0
1,0,1,5,0,0,0,0,0,0,0,0
0,0,1,4,0,0,0,0,0,0,0,0
0,1,1,3,0,0,0,0,0,0,0,0
0,1,3,5,0,0,0,0,0,0,0,0
0,1,4,1,0,0,0,0,0,0,0,0
4,1,2,3,0,0,0,0,0,0,0,0
1,0,1,4,0,0,0,0,0,0,0,0
0,0,2,3,0,0,0,0,0,0,0,0
0,0,4,4,0,0,0,0,0,0,0,0
2,1,1,3,0,0,0,0,0,0,0,0
4,1,1,1,0,0,0,0,0,0,0,0
0,0,2,3,0,0,0,0,0,0,0,0
0,1,1,5,0,0,0,0,0,0,0,0
0,0,3,4,0,0,0,0,0,0,0,0
2,2,1,8,0,0,0,0,0,0,0,0
0,1,2,2,0,0,0,0,0,0,0,0
0,0,2,5,0,0,0,0,0,0,0,0
0,1,3,3,0,0,0,0,0,0,0,0
0,1,1,4,0,0,0,0,0,0,0,0
0,3,2,1,0,0,0,0,0,0,0,0
1,0,1,4,0,0,0,0,0,0,0,0
2,2,1,4,0,0,0,0,0,0,0,0
0,1,2,3,0,0,0,0,0,0,0,0
2,0,1,5,0,0,0,0,0,0,0,0
0,0,2,3,0,0,0,0,0,0,0,0
1,1,3,2,0,0,0,0,0,0,0,0
0,0,15,20,0,0,0,0,0,0,0,0
0,0,1,5,0,0,0,0,0,0,0,0
0,0,2,3,0,0,0,0,0,0,0,0
1,0,1,4,0,0,0,0,0,0,0,0
0,2,2,1,0,0,0,0,0,0,0,0
1,1,3,3,0,0,0,0,0,0,0,0
0,1,2,5,0,0,0,0,0,0,0,0
1,1,1,2,0,0,0,0,0,0,0,0
0,2,1,7,0,0,0,0,0,0,0,0
0,2,2,2,0,0,0,0,0,0,0,0
0,2,1,2,0,0,0,0,0,0,0,0
0,1,4,2,0,0,0,0,0,0,0,0
0,3,4,1,0,0,0,0,0,0,0,0
1,1,0,5,0,0,0,0,0,0,0,0
0,0,3,3,0,0,0,0,0,0,0,0
0,1,1,3,0,0,0,0,0,0,0,0
1,1,4,2,0,0,0,0,0,0,0,0
1,2,1,2,0,0,0,0,0,0,0,0
1,0,1,6,0,0,0,0,0,0,0,0
0,3,3,2,0,0,0,0,0,0,0,0
0,1,2,5,0,0,0,0,0,0,0,0
0,2,6,17,0,0,0,0,0,0,0,0
0,1,1,4,0,0,0,0,0,0,0,0
2,1,2,4,0,0,0,0,0,0,0,0
1,0,4,4,0,0,0,0,0,0,0,0
0,1,0,6,0,0,0,0,0,0,0,0
2,0,3,9,0,0,0,0,0,0,0,0
0,0,1,5,0,0,0,0,0,0,0,0
0,0,2,7,0,0,0,0,0,0,0,0
0,1,2,3,0,0,0,0,0,0,0,0
0,1,2,4,0,0,0,0,0,0,0,0
0,2,2,4,0,0,0,0,0,0,0,0
0,2,1,2,0,0,0,0,0,0,0,0
0,0,3,2,0,0,0,0,0,0,0,0
0,0,3,5,0,0,0,0,0,0,0,0
2,1,2,2,0,0,0,0,0,0,0,0
1,1,2,3,0,0,0,0,0,0,0,0
0,1,1,4,0,0,0,0,0,0,0,0
0,0,2,4,0,0,0,0,0,0,0,0
0,1,3,4,0,0,0,0,0,0,0,0
1,1,2,3,0,0,0,0,0,0,0,0
2,0,3,7,0,0,0,0,0,0,0,0
0,0,1,4,0,0,0,0,0,0,0,0
0,0,1,5,0,0,0,0,0,0,0,0
0,1,2,4,0,0,0,0,0,0,0,0
0,1,1,3,0,0,0,0,0,0,0,0
0,1,2,2,0,0,0,0,0,0,0,0
0,0,2,3,0,0,0,0,0,0,0,0
0,1,3,2,0,0,0,0,0,0,0,0
1,1,2,2,0,0,0,0,0,0,0,0
3,7,5,13,0,0,0,0,0,0,0,0
0,1,0,6,0,0,0,0,0,0,0,0
1,0,3,4,0,0,0,0,0,0,0,0
1,1,4,2,0,0,0,0,0,0,0,0
0,1,1,4,0,0,0,0,0,0,0,0
1,2,1,5,0,0,0,0,0,0,0,0
0,1,3,3,0,0,0,0,0,0,0,0
0,0,2,5,0,0,0,0,0,0,0,0
0,0,2,12,0,0,0,0,0,0,0,0
0,0,2,5,0,0,0,0,0,0,0,0
1,0,3,3,0,0,0,0,0,0,0,0
3,2,1,1,0,0,0,0,0,0,0,0
0,1,3,1,0,0,0,0,0,0,0,0
0,2,1,7,0,0,0,0,0,0,0,0
0,1,1,3,0,0,0,0,0,0,0,0
0,0,1,5,0,0,0,0,0,0,0,0
1,0,2,3,0,0,0,0,0,0,0,0
0,1,2,3,0,0,0,0,0,0,0,0
0,1,3,4,0,0,0,0,0,0,0,0
0,1,3,7,0,0,0,0,0,0,0,0
0,3,1,2,0,0,0,0,0,0,0,0
0,1,1,4,0,0,0,0,0,0,0,0
1,1,3,5,0,0,0,0,0,0,0,0
0,0,1,4,0,0,0,0,0,0,0,0
1,1,2,1,0,0,0,0,0,0,0,0
0,1,3,1,0,0,0,0,0,0,0,0
1,2,1,4,0,0,0,0,0,0,0,0
1,2,2,2,0,0,0,0,0,0,0,0
0,2,2,4,0,0,0,0,0,0,0,0
0,1,1,3,0,0,0,0,0,0,0,0
0,0,4,1,0,0,0,0,0,0,0,0
0,1,5,3,0,0,0,0,0,0,0,0
0,0,1,4,0,0,0,0,0,0,0,0
0,2,1,4,0,0,0,0,0,0,0,0
0,4,2,3,0,0,0,0,0,0,0,0
0,2,2,1,0,0,0,0,0,0,0,0
0,1,2,5,0,0,0,0,0,0,0,0
1,3,3,4,0,0,0,0,0,0,0,0
0,0,2,3,0,0,0,0,0,0,0,0
0,0,5,6,0,0,0,0,0,0,0,0
1,1,1,2,0,0,0,0,0,0,0,0
0,1,2,4,0,0,0,0,0,0,0,0
0,1,1,5,0,0,0,0,0,0,0,0
0,1,4,3,0,0,0,0,0,0,0,0
0,1,3,4,0,0,0,0,0,0,0,0
1,1,3,2,0,0,0,0,0,0,0,0
0,2,2,2,0,0,0,0,0,0,0,0
0,0,2,3,0,0,0,0,0,0,0,0
1,3,6,4,0,0,0,0,0,0,0,0
1,1,2,4,0,0,0,0,0,0,0,0
2,1,1,1,0,0,0,0,0,0,0,0
1,0,2,3,0,0,0,0,0,0,0,0
0,1,1,3,0,0,0,0,0,0,0,0
0,0,2,4,0,0,0,0,0,0,0,0
0,2,4,1,0,0,0,0,0,0,0,0
0,0,3,2,0,0,0,0,0,0,0,0
0,2,1,3,0,0,0,0,0,0,0,0
1,0,3,2,0,0,0,0,0,0,0,0
0,0,3,2,0,0,0,0,0,0,0,0
0,1,1,3,0,0,0,0,0,0,0,0
1,1,2,1,0,0,0,0,0,0,0,0
0,0,3,2,0,0,0,0,0,0,0,0
0,1,1,4,0,0,0,0,0,0,0,0
1,0,2,3,0,0,0,0,0,0,0,0
0,3,2,6,0,0,0,0,0,0,0,0
1,1,4,5,0,0,0,0,0,0,0,0
0,0,2,4,0,0,0,0,0,0,0,0
1,0,1,5,0,0,0,0,0,0,0,0
0,0,2,4,0,0,0,0,0,0,0,0
0,1,2,5,0,0,0,0,0,0,0,0
0,0,2,5,0,0,0,0,0,0,0,0
0,1,1,3,0,0,0,0,0,0,0,0
1,1,1,8,0,0,0,0,0,0,0,0
0,0,1,4,0,0,0,0,0,0,0,0
2,3,1,5,0,0,0,0,0,0,0,0
0,0,2,3,0,0,0,0,0,0,0,0
2,1,1,3,0,0,0,0,0,0,0,0
1,1,3,3,0,0,0,0,0,0,0,0
0,2,3,1,0,0,0,0,0,0,0,0
1,0,1,4,0,0,0,0,0,0,0,0
0,0,1,4,0,0,0,0,0,0,0,0
0,0,1,4,0,0,0,0,0,0,0,0
0,0,2,4,0,0,0,0,0,0,0,0
1,1,5,4,0,0,0,0,0,0,0,0
0,1,0,5,0,0,0,0,0,0,0,0
0,1,3,8,0,0,0,0,0,0,0,0
1,1,3,4,0,0,0,0,0,0,0,0
0,1,2,2,0,0,0,0,0,0,0,0
1,1,1,2,0,0,0,0,0,0,0,0
0,3,2,2,0,0,0,0,0,0,0,0
0,1,2,4,0,0,0,0,0,0,0,0
2,3,2,3,0,0,0,0,0,0,0,0
0,0,1,5,0,0,0,0,0,0,0,0
0,1,2,2,0,0,0,0,0,0,0,0
0,2,3,2,0,0,0,0,0,0,0,0
0,0,3,4,0,0,0,0,0,0,0,0
0,1,1,4,0,0,0,0,0,0,0,0
1,0,2,3,0,0,0,0,0,0,0,0
0,2,1,2,0,0,0,0,0,0,0,0
6,1,1,1,0,0,0,0,0,0,0,0
0,2,2,7,0,0,0,0,0,0,0,0
0,3,3,6,0,0,0,0,0,0,0,0
1,1,1,4,0,0,0,0,0,0,0,0
0,0,1,4,0,0,0,0,0,0,0,0
0,1,0,6,0,0,0,0,0,0,0,0
0,1,2,2,0,0,0,0,0,0,0,0
1,1,2,1,0,0,0,0,0,0,0,0
0,0,1,4,0,0,0,0,0,0,0,0
0,2,2,1,0,0,0,0,0,0,0,0
0,2,4,2,0,0,0,0,0,0,0,0
0,1,1,4,0,0,0,0,0,0,0,0
0,0,1,6,0,0,0,0,0,0,0,0
1,1,2,1,0,0,0,0,0,0,0,0
1,1,0,6,0,0,0,0,0,0,0,0
0,0,4,2,0,0,0,0,0,0,0,0
0,2,3,4,0,0,0,0,0,0,0,0
1,0,3,2,0,0,0,0,0,0,0,0
0,0,4,1,0,0,0,0,0,0,0,0
1,1,3,4,0,0,0,0,0,0,0,0
0,2,1,2,0,0,0,0,0,0,0,0
0,1,1,3,0,0,0,0,0,0,0,0
2,1,2,8,0,0,0,0,0,0,0,0
2,0,3,2,0,0,0,0,0,0,0,0
1,1,1,2,0,0,0,0,0,0,0,0
0,1,4,8,0,0,0,0,0,0,0,0
0,0,3,2,0,0,0,0,0,0,0,0
0,1,3,2,0,0,0,0,0,0,0,0
0,1,1,3,0,0,0,0,0,0,0,0
2,0,1,7,0,0,0,0,0,0,0,0
1,1,2,3,0,0,0,0,0,0,0,0
3,2,3,2,0,0,0,0,0,0,0,0
1,1,2,1,0,0,0,0,0,0,0,0
0,1,3,4,0,0,0,0,0,0,0,0
0,3,4,3,0,0,0,0,0,0,0,0
1,2,5,3,0,0,0,0,0,0,0,0
1,1,2,4,0,0,0,0,0,0,0,0
0,1,2,2,0,0,0,0,0,0,0,0
2,3,1,1,0,0,0,0,0,0,0,0
0,2,6,6,0,0,0,0,0,0,0,0
0,0,2,3,0,0,0,0,0,0,0,0
0,3,4,3,0,0,0,0,0,0,0,0
1,0,1,4,0,0,0,0,0,0,0,0
1,2,3,6,0,0,0,0,0,0,0,0
0,2,5,6,0,0,0,0,0,0,0,0
1,1,4,3,0,0,0,0,0,0,0,0
2,1,1,2,0,0,0,0,0,0,0,0
0,3,4,11,0,0,0,0,0,0,0,0
0,0,2,3,0,0,0,0,0,0,0,0
0,0,2,3,0,0,0,0,0,0,0,0
1,1,3,2,0,0,0,0,0,0,0,0
1,1,2,1,0,0,0,0,0,0,0,0
1,3,3,11,0,0,0,0,0,0,0,0
0,1,1,4,0,0,0,0,0,0,0,0
1,0,3,4,0,0,0,0,0,0,0,0
0,0,2,4,0,0,0,0,0,0,0,0
0,1,5,8,0,0,0,0,0,0,0,0
1,0,3,6,0,0,0,0,0,0,0,0
2,1,2,6,0,0,0,0,0,0,0,0
0,0,2,4,0,0,0,0,0,0,0,0
1,1,1,3,0,0,0,0,0,0,0,0
0,3,1,8,0,0,0,0,0,0,0,0
1,1,2,4,0,0,0,0,0,0,0,0
0,1,3,2,0,0,0,0,0,0,0,0
0,1,3,2,0,0,0,0,0,0,0,0
1,1,3,1,0,0,0,0,0,0,0,0
1,0,2,3,0,0,0,0,0,0,0,0
0,1,2,2,0,0,0,0,0,0,0,0
2,2,2,2,0,0,0,0,0,0,0,0
1,1,0,6,0,0,0,0,0,0,0,0
2,2,4,5,0,0,0,0,0,0,0,0
0,1,6,15,0,0,0,0,0,0,0,0
1,1,4,1,0,0,0,0,0,0,0,0
1,2,1,4,0,0,0,0,0,0,0,0
0,2,1,2,0,0,0,0,0,0,0,0
0,0,1,5,0,0,0,0,0,0,0,0
3,3,1,2,0,0,0,0,0,0,0,0
0,3,1,3,0,0,0,0,0,0,0,0
0,1,3,5,0,0,0,0,0,0,0,0
0,0,3,3,0,0,0,0,0,0,0,0
0,1,1,3,0,0,0,0,0,0,0,0
0,2,2,2,0,0,0,0,0,0,0,0
0,0,3,2,0,0,0,0,0,0,0,0
0,0,2,5,0,0,0,0,0,0,0,0
2,0,2,4,0,0,0,0,0,0,0,0
2,1,2,2,0,0,0,0,0,0,0,0
0,2,2,2,0,0,0,0,0,0,0,0
1,1,2,1,0,0,0,0,0,0,0,0
1,1,1,5,0,0,0,0,0,0,0,0
0,3,1,7,0,0,0,0,0,0,0,0
0,2,4,10,0,0,0,0,0,0,0,0
0,3,1,5,0,0,0,0,0,0,0,0
0,2,1,4,0,0,0,0,0,0,0,0
1,1,2,2,0,0,0,0,0,0,0,0
0,1,1,3,0,0,0,0,0,0,0,0
0,1,2,4,0,0,0,0,0,0,0,0
0,1,1,5,0,0,0,0,0,0,0,0
0,0,1,4,0,0,0,0,0,0,0,0
1,1,4,2,0,0,0,0,0,0,0,0
1,3,2,8,0,0,0,0,0,0,0,0
1,0,2,3,0,0,0,0,0,0,0,0
2,0,3,4,0,0,0,0,0,0,0,0
0,2,1,3,0,0,0,0,0,0,0,0
0,0,3,2,0,0,0,0,0,0,0,0
