0,0,0,0,0,9,19,25,21,29
0,0,0,0,0,0,0,0,25,14
0,0,0,0,0,10,0,0,0,11
1250,372,7,0,0,16,15,12,44,36
22,0,0,0,0,376,937,2061,449,38
0,0,0,0,0,25,0,0,45,22
46,0,0,9,0,16,0,0,0,10
57,0,0,0,0,8,0,13,0,5
0,0,0,0,0,10,3,6,53,39
6,4,22,17,6,29,0,0,0,0
1718,485,3,0,0,44,27,32,66,44
13,0,0,0,0,0,0,0,12,10
0,0,0,0,0,8,0,0,0,5
0,1,0,0,0,50,9,25,33,48
0,0,0,0,0,0,1,0,13,13
0,0,0,0,0,0,0,1,0,6
0,0,0,0,0,8,3,10,76,56
0,0,0,0,0,22,5,11,92,59
0,0,0,0,0,40,0,0,0,14
4,1,6,11,14,34,0,0,0,0
11,0,0,0,0,8,0,0,0,18
0,0,0,0,0,1,0,27,0,8
3435,3348,6021,17,10,52,49,60,110,72
4840,9025,20564,39,37,76,45,63,113,74
0,0,0,0,0,9,0,0,0,13
0,0,0,0,0,12,0,0,0,9
0,0,0,0,0,38,15,28,167,84
0,0,1,0,0,99,16,49,61,87
3,0,0,0,1,136,24,87,80,93
3,0,0,0,0,21,19,35,293,66
0,0,0,0,0,0,0,1,5,1
0,0,0,0,0,0,11,28,200,46
0,0,0,0,0,0,0,10,0,30
0,0,0,0,0,46,0,0,0,28
23,0,0,0,0,0,0,0,0,10
1,0,0,0,1,183,34,86,132,135
64,0,0,0,0,1472,3410,7946,1617,138
0,0,0,1,1,145,114,511,10,165
3,0,0,0,0,71,99,84,95,164
1,0,0,0,0,68,21,31,263,175
8,0,0,0,0,324,36,224,246,218
9,0,0,0,0,104,123,583,824,207
0,0,0,0,0,40,37,253,312,107
6,0,0,1,4,540,89,258,354,454
37926,7062,5400,16,18,633,382,546,1093,619
5,0,0,0,0,291,362,311,363,553
250,0,1,0,1,6767,14747,37012,7890,558
17,0,0,2,0,314,157,216,1573,1016
2050,24,97,1006,1437,285029,39393,125319,37319,1933
32,0,1,6,10,2827,496,1571,2048,2302
37,0,0,1,1,1185,1704,1526,1638,2676
49,1,0,1,0,1149,561,728,5728,3713
128,1,1,12,9,10819,1950,6465,8505,9220
260,0,1,18,9,5087,2322,3136,26043,16235
0,0,0,0,0,0,0,1778,0,2349
690,4,5,107,108,50806,8183,28197,38398,39943
22852,35,45,4,53,663505,1374995,3316968,746008,56706
3969,12,45,222,166,116244,153151,139261,162379,258962
22391,70,211,1013,849,510402,206681,295871,2558847,1587758
57657,243,702,6923,8688,4818795,719416,2499814,3481430,3747316
0,0,0,0,4,0,0,8,0,0
0,0,4,1,0,0,0,0,0,0
7,0,0,0,0,0,0,16,0,0
1,0,0,0,0,0,30,6,0,0
0,0,0,0,0,1,8,14,0,0
0,0,0,0,0,9,0,15,0,0
0,4,5,1,0,0,0,0,0,0
0,0,0,0,0,16,0,30,0,0
8,0,0,0,7,12,0,0,0,0
2,7,14,3,0,0,0,0,0,0
2,0,0,0,0,21,0,21,0,0
31,0,0,0,0,0,0,39,0,0
0,3,2,1,0,0,0,0,0,0
7,31,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,2,6,1
0,0,0,0,0,1,3,1,0,0
0,0,0,0,0,12,21,54,0,0
0,0,0,0,0,7,12,24,0,0
20,0,0,0,0,11,0,28,0,0
1,0,0,0,0,0,48,176,0,0
0,0,0,0,0,0,52,145,0,0
0,0,0,0,0,0,1516,3616,0,0
0,0,0,0,0,0,1820,4037,0,0
1,0,1,4,4,68,0,0,0,0
318,0,0,0,0,0,0,679,0,0
0,0,0,0,0,2275,0,1540,0,0
0,0,5,1,0,0,0,0,0,0
0,1,12,1,0,0,0,0,0,0
2,1,1,1,0,0,0,0,0,0
1,0,13,1,0,0,0,0,0,0
0,0,6,1,0,0,0,0,0,0
0,1,19,28,41,112,0,0,0,0
108,214,666,1,0,0,0,0,0,0
0,0,0,0,0,0,10,0,0,18
0,17,24,1,0,0,0,0,0,0
0,0,4,1,0,0,0,0,0,0
