48,1,0,1,24,4,14,3,33,3,44,54,64,98,128,196,34
30,0,0,0,12,2,6,9,29,0,0,0,0,0,0,0,0
66,1,0,3,37,24,17,7,86,4,82,82,108,119,147,234,35
55,1,1,1,36,5,16,8,129,6,134,119,155,166,170,210,39
1202,2,1,4,66,6,27,11,94,4,56,64,94,87,115,163,40
29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
54,3,2,4,35,4,10,6,74,0,97,104,141,151,203,267,41
38,1,1,0,16,4,12,6,64,2,100,113,175,159,202,270,47
13,2,0,1,20,8,9,9,42,2,102,94,120,163,172,310,52
277,3,1,0,36,13,67,33,1060,10,688,279,154,139,83,209,75
28,5,2,1,21,7,6,0,34,2,99,134,298,455,809,1530,351
872,8,5,6,57,11,7,5,258,16,916,946,1405,1576,1964,2734,474
10,6,5,5,20,2,3,2,106,2,321,472,827,1023,1745,3148,775
10,28,16,12,71,15,12,10,415,31,1591,2115,3143,4100,5477,9035,1598
318,127,53,46,404,83,128,85,2405,206,7755,7573,11022,12322,15257,22397,3482
87,1,1,1,43,6,28,14,56,1,5,3,1,0,0,0,0
58,2,3,4,88,20,37,20,122,3,10,2,6,2,8,5,1
85,0,0,0,1,1,0,0,12,1,6,0,4,1,4,3,1
24,0,0,0,0,0,0,0,4,0,3,1,1,1,1,0,0
28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,2,3,1,2,2,2,1,1,1,1
29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,0,0,1,21,3,14,4,28,0,3,1,2,4,5,9,1
401,2,0,4,82,13,17,6,29,0,0,0,0,0,0,0,0
54,0,1,0,5,0,8,3,76,1,27,5,2,1,0,0,0
3,0,0,0,1,1,0,0,2,0,2,2,3,4,3,4,1
29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
144,0,0,2,17,6,8,1,17,0,1,0,4,1,4,4,1
97,2,1,1,8,5,18,20,581,10,308,124,126,83,50,68,6
40,0,1,1,21,4,16,8,28,0,0,0,0,0,0,0,0
154,2,0,0,7,0,3,5,74,0,48,28,35,21,10,15,5
31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39,0,0,0,18,2,14,7,96,0,23,11,2,11,14,20,6
31,0,0,0,20,3,6,2,22,0,6,3,9,7,11,10,5
44,0,1,2,11,2,13,9,118,0,27,17,11,9,2,5,2
31,0,0,0,14,3,9,2,20,0,4,0,2,3,3,4,1
11,1,0,0,0,1,0,0,0,0,1,4,1,0,0,0,0
6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
69,0,0,2,46,10,21,10,51,0,7,2,6,11,22,40,11
58,2,1,0,30,6,11,4,39,0,17,8,14,21,8,27,10
56,1,1,0,29,5,16,4,49,0,4,1,1,0,0,0,0
16,0,1,0,10,1,3,2,5,0,10,14,14,16,16,19,6
982,6,3,3,43,1,5,1,15,1,8,3,11,3,7,15,5
40,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,0,0,1,5,0,2,0,6,0,2,0,6,4,10,10,12
20,0,0,0,4,0,0,0,9,0,2,2,2,3,5,8,2
30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
81,1,0,0,14,1,6,2,40,0,32,24,20,14,18,17,2
51,0,0,0,2,0,3,5,94,4,30,19,14,5,12,2,2
63,0,1,0,31,6,6,4,26,1,2,8,24,15,15,47,9
44,21,12,4,61,2,4,3,9,0,2,3,3,3,4,6,2
6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,1,1,0,6,2,6,2,28,0,1,1,0,1,1,1,2
63,0,1,1,40,5,19,12,67,2,4,2,0,0,0,0,0
28,0,0,1,10,6,11,3,22,0,4,5,1,7,8,10,2
34,0,0,0,7,1,4,6,38,0,20,23,17,19,30,32,3
7,0,0,1,4,1,0,0,0,0,0,0,3,0,4,10,2
33,0,0,0,17,3,9,3,28,0,0,0,0,0,0,0,0
12,1,0,0,3,2,5,2,8,0,2,1,2,2,4,10,1
68,1,0,0,15,2,5,3,20,0,12,6,12,15,19,29,2
45,0,0,0,35,10,15,10,70,0,23,16,8,5,6,9,1
29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41,0,0,1,17,6,6,4,30,0,5,2,5,1,3,8,2
29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,0,0,0,0,0,1,2,8,0,3,5,15,13,16,21,3
2,0,0,0,1,0,1,0,5,0,7,3,5,2,5,10,1
581,0,4,4,78,7,12,2,17,0,4,1,2,0,0,0,0
148,0,0,1,23,3,5,0,20,0,9,4,5,2,5,6,2
24,0,1,1,5,1,5,3,37,0,6,1,2,1,1,0,0
42,0,0,2,3,0,0,1,7,1,0,0,0,0,0,0,0
106,0,0,1,3,1,1,0,0,0,0,0,0,0,0,0,0
97,0,0,0,8,1,1,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,2,1,1,1,0,0,0,0,0,0,0
49,0,1,0,27,3,9,7,30,1,1,1,1,1,0,0,0
61,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72,0,0,2,2,1,0,0,0,0,0,0,0,0,0,0,0
4,0,0,0,0,0,0,1,17,1,15,19,10,11,5,4,0
6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
123,0,0,1,9,1,1,1,0,0,0,0,0,0,0,0,0
4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,0,0,0,46,7,13,10,42,0,1,0,1,2,2,2,0
2,0,1,0,0,0,0,0,9,1,0,0,0,0,0,0,0
4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0,7,0,1,2,1,2,0,0,0
24,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,0,1,0,12,1,5,2,24,1,1,1,0,0,0,0,0
30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,0,0,0,0,1,0,0,4,2,1,0,0,0,0,0,0
24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0,0,0,4,1,0,0,6,0,3,5,8,2,6,6,0
709,4,2,8,99,10,17,4,25,1,2,1,0,0,0,0,0
18,0,0,1,4,0,4,0,28,0,0,0,0,0,0,0,0
91,0,0,0,5,1,2,0,0,0,0,0,0,0,0,0,0
29,0,0,2,8,2,3,2,26,0,7,5,6,1,4,3,0
27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,0,0,0,23,5,11,6,28,0,0,0,0,0,0,0,0
